2025-07-04 13:42:20 | class java.nio.file.NoSuchFileException | \sunny_fields\world_0 | Failed to load world: /sunny_fields/world_0
2025-07-04 14:55:18 | class java.lang.NullPointerException | Cannot invoke "Game.World.BaseWorld.getMap()" because "this.world" is null | Game loop error
2025-07-04 15:06:03 | class java.lang.NullPointerException | Cannot invoke "Game.World.BaseWorld.getMap()" because "this.world" is null | Game loop error
2025-07-04 15:06:45 | class java.lang.NullPointerException | Cannot invoke "Game.World.BaseWorld.getMap()" because "this.world" is null | Game loop error
2025-07-04 15:08:24 | class java.lang.NullPointerException | Cannot invoke "Game.World.BaseWorld.getMap()" because "this.world" is null | Game loop error
2025-07-04 15:08:45 | class java.lang.NullPointerException | Cannot invoke "Game.World.BaseWorld.getMap()" because "this.world" is null | Game loop error
2025-07-04 15:10:14 | class java.lang.NullPointerException | Cannot invoke "Game.World.BaseWorld.getMap()" because "this.world" is null | Game loop error
2025-07-04 15:10:45 | class java.lang.NullPointerException | Cannot invoke "Game.World.BaseWorld.getMap()" because "this.world" is null | Game loop error
2025-07-04 15:11:08 | class java.lang.NullPointerException | Cannot invoke "Game.World.BaseWorld.getMap()" because "this.world" is null | Game loop error
2025-07-04 15:12:07 | class java.lang.NullPointerException | Cannot invoke "Game.World.BaseWorld.getMap()" because "this.world" is null | Game loop error
2025-07-04 15:12:17 | class java.lang.NullPointerException | Cannot invoke "Game.World.BaseWorld.getMap()" because "this.world" is null | Game loop error
2025-07-04 15:12:25 | class java.lang.NullPointerException | Cannot invoke "Game.World.BaseWorld.getMap()" because "this.world" is null | Game loop error
2025-07-04 15:13:26 | class java.lang.NullPointerException | Cannot invoke "Game.World.BaseWorld.getMap()" because "this.world" is null | Game loop error
2025-07-04 15:18:36 | class java.lang.NullPointerException | Cannot invoke "Game.World.BaseWorld.getMap()" because "this.world" is null | Game loop error
